"PROGRAMMA","ASSE","LINEA","AZIONE","TITOLO_PROGETTO","AMBITO_INTERVENTO","SETTORE","DATA_AVVIO","DURATA_PROGETTO","COSTO_COMPLESSIVO","CONTRIBUTO_TOTALE_RICHIESTO","CONTRIBUTO_TOTALE_AMMESSO","CONTRIBUTO_INVEST_RICHIESTO","CONTRIBUTO_INVEST_AMMESSO","CONTRIBUTO_INVEST_CONCESSO_PROVVISORIO","COFINANZIAMENTO_INVEST_BENEFICIARIO","CONTRIBUTO_SPESE_RICHIESTO","CONTRIBUTO_SPESE_AMMESSO","CONTRIBUTO_SPESE_CONCESSO_PROVVISORIO","BENEFICIARIO","CODICE_ATECO","PROVINCIA","LOCALIZZAZIONE_INVESTIMENTO","CODICE_ISTAT","SITO_WEB","DESCRIZIONE_PROGETTO","REVOCA"
"PO FESR 2007-2013","1","1.1","1.1.3","Servizi di consulenza per soluzioni innovative per l efficientamento energetico dei processi industriali di aziende energivore","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","05/08/2014","36","2.015.785,17","1.118.050,05","1.118.050,05","1.020.000,00","1.020.000,00","1.020.000,00","680.000,00","98.050,05","98.050,05","98.050,05","IDEA 75 SRKU","62.02.00 - Consulenza nel settore delle tecnologie dell'informatica  - SettoreAmbiente e risparmio energetico","BA","BARI","072006","www.idea75.it","Servizi di consulenza per soluzioni innovative per l efficientamento energetico dei processi industriali di aziende energivore",""
"PO FESR 2007-2013","1","1.1","1.1.3","Avvio della produzione di  tamponi per prelievi biologici attraverso la valorizzazione del progetto di ricerca “Sistema di chiusura per tampone di trasporto","RICERCA E SPERIMENTAZIONE","Materiali avanzati","30/12/2014","36","2.784.532,58","1.137.428,87","1.119.027,09","501.215,87","501.215,87","501.215,87","334.143,91","636.213,00","617.811,22","617.811,22","MICROBIOTECH S.R.L.","22.2 - FABBRICAZIONE DI ARTICOLI IN MATERIE PLASTICHE - Settore Materiali avanzati","LE","SURBO","075083","","Avvio della produzione di  tamponi per prelievi biologici attraverso la valorizzazione del progetto di ricerca “Sistema di chiusura per tampone di trasporto",""
"PO FESR 2007-2013","1","1.1","1.1.3","Soluzioni Innovative di Appensione Per Strutture di Impalcato","RICERCA E SPERIMENTAZIONE","MATERIALI AVANZATI","03/02/2012","36","1.046.850,00","480.210,00","480.210,00","314.910,00","314.910,00","314.910,00","209.940,00","165.300,00","165.300,00","165.300,00","SISMALAB SRL","72.19.01 - MATERIALI AVANZATI","TA","CRISPIANO","073004","","Servizi di ricerca e sviluppo e di ottimizzazione dei prodotti per le aziende edili ed in particolare nell'ambito antisismico.",""
"PO FESR 2007-2013","1","1.1","1.1.3","SITEMA INTEGRATO PER IL MONITORAGGIO E LA VALUTAZIONE DELLE EMISSIONI","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","28/03/2011","36","252.512,00","118.801,60","118.801,60","75.753,60","75.753,60","75.753,60","50.502,40","43.048,00","43.048,00","43.048,00","LENVIROS SRL","72.19.09 - AMBIENTE E RISPARMIO ENERGETICO","BA","MOLFETTA","072029","WWW.LENVIROS.IT","Sviluppo di servizi di valutazione dello stato dell’ambiente, dello sviluppo e testing di metodologie innovative per il monitoraggio ambientale e della progettazione di sistemi informativi e di supporti decisionali per la gestione dei comparti ambientali",""
"PO FESR 2007-2013","1","1.1","1.1.3","PRODUZIONE DI COMPONENTI PER IMPIANTI DI SOLLEVAMENTO FINALIZZATI AL RISPARMIO ENERGETICO","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","16/12/2011","36","1.944.436,10","943.939,98","943.939,98","663.468,78","663.468,78","663.468,78","442.312,52","280.471,20","280.471,20","280.471,20","ENCOSYS SRL","27.12.00 - AMBIENTE E RISPARMIO ENERGETICO","TA","MARTINA FRANCA","073013","WWW.ENCOSYS.IT","Produzione di un dispositivo per il risparmio energetico applicato agli ascensori ad azione oleodinamico",""
"PO FESR 2007-2013","1","1.1","1.1.3","Tecnologie e servizi innovativi per il trattamento dell'obesità","RICERCA E SPERIMENTAZIONE","SALUTE DELL'UOMO","19/10/2011","36","2.086.222,81","916.866,40","916.866,40","605.381,93","605.381,93","603.885,68","442.590,45","311.484,47","311.484,47","311.484,47","GELESIS SRL","72.11.0 - SALUTE DELL'UOMO","LE","CALIMERA","075010","WWW.GELESIS.COM","Sviluppo dei servizi per studi pre-clinici e clinici, per la produzione del materiale, il controllo della qualità e  lo sviluppo prototipale di prodotti contenenti il materiale sintetizzato",""
"PO FESR 2007-2013","1","1.1","1.1.3","Progettazione e produzione di plantari personalizzati","RICERCA E SPERIMENTAZIONE","SALUTE DELL'UOMO","15/12/2010","36","1.563.125,76","798.126,93","798.126,93","651.833,80","651.833,80","651.833,80","434.555,87","146.293,13","146.293,13","146.293,13","LOM SRL","32.50.3 - SALUTE DELL'UOMO","BA","TURI","072047","www.lomgroup.it","Produzione di plantari personalizzati",""
"PO FESR 2007-2013","1","1.1","1.1.3","Produzione di mutigeneratori (policombustibili) elettrici in assetto cogenerativo e/o trigenerativo","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","08/07/2011","36","1.723.540,00","794.036,86","794.036,86","519.131,25","519.131,25","517.200,00","349.416,00","274.905,61","274.905,61","274.905,61","KAD3","43.21 - AMBIENTE E RISPARMIO ENERGETICO","BA","MONOPOLI","072030","http://www.kad3.com/","Sviluppo di produzione di impianti multigeneratori di produzione di energia",""
"PO FESR 2007-2013","1","1.1","1.1.3","PRODUZIONE DI PAVIMENTI MEDIANTE PROGETTAZIONE DIGITALIZZATA","RICERCA E SPERIMENTAZIONE","SISTEMI AVANZATI DI MANIFATTURA","22/12/2011","36","1.453.531,47","676.576,69","676.576,69","478.875,79","478.875,79","478.875,79","319.250,53","197.700,90","197.700,90","197.700,90","PEPE & CON SRL","22.29.09  - SISTEMI AVANZATI DI MANIFATTURA","BA","GRAVINA IN PUGLIA","072023","WWW.MOSAICODIGITALE.IT","Progettazione, realizzazione e commercializzazione di mosaici in resina",""
"PO FESR 2007-2013","1","1.1","1.1.3","SERVIZI GIORNALISTICI BASATI SUL WEB","RICERCA E SPERIMENTAZIONE","ICT","03/02/2012","36","261.076,00","122.587,05","122.587,05","78.322,80","78.322,80","78.322,80","52.215,20","44.264,25","44.264,25","44.264,25","EDITORIALE 41 SRL","63.91.00 - ICT","BA","BARI","072006","www.editoriale41.it","Servizi di informazione anche webservices e di produzione di contenuti digitali",""
